Time [s], Type, Src, Dst, Cmd, Dat
68.151104125000003, command with data, 0x3, 0x0, 0x0C, 0x0020
69.308904916666663, command with data, 0x3, 0x0, 0x0C, 0x0021
70.222990416666661, command with data, 0x3, 0x0, 0x0C, 0x0022
71.187809666666666, command, 0x0, 0x3, 0x11
71.245047874999997, command, 0x3, 0x0, 0x11
72.199657583333334, command with data, 0x3, 0x0, 0x0C, 0x0021
73.140955000000005, command with data, 0x3, 0x0, 0x0C, 0x0020
73.809994791666668, command, 0x0, 0x3, 0x11
73.867099374999995, command, 0x3, 0x0, 0x10
74.848461000000000, command with data, 0x3, 0x0, 0x0C, 0x0021
76.010717041666666, command with data, 0x3, 0x0, 0x0C, 0x0022
76.165360666666672, command, 0x0, 0x3, 0x08
76.297938583333334, command, 0x0, 0x3, 0x12
76.354804916666666, command, 0x3, 0x0, 0x12
76.412103125000002, command, 0x3, 0x0, 0x12
76.475828625000005, command with data, 0x3, 0x0, 0x0C, 0x0023
76.583529541666664, command with data, 0x3, 0x0, 0x0C, 0x0024
76.688456791666667, command with data, 0x3, 0x0, 0x0C, 0x0025
76.796154874999999, command with data, 0x3, 0x0, 0x0C, 0x0026
76.903860916666673, command with data, 0x3, 0x0, 0x0C, 0x0027
77.014335833333334, command with data, 0x3, 0x0, 0x0C, 0x0028
77.119260624999995, command with data, 0x3, 0x0, 0x0C, 0x0029
77.226962499999999, command with data, 0x3, 0x0, 0x0C, 0x0031
77.334661666666662, command with data, 0x3, 0x0, 0x0C, 0x0032
77.442366375000006, command with data, 0x3, 0x0, 0x0C, 0x0033
77.552844166666674, command with data, 0x3, 0x0, 0x0C, 0x0033
78.020850333333328, command, 0x3, 0x0, 0x10
78.235041208333328, command, 0x0, 0x3, 0x09
78.375319291666671, command, 0x3, 0x0, 0x13
78.433631666666670, command, 0x0, 0x3, 0x12
79.138951875000004, command, 0x3, 0x0, 0x13
79.220563041666665, command with data, 0x3, 0x0, 0x0C, 0x0031
79.328264291666670, command with data, 0x3, 0x0, 0x0C, 0x0030
79.433189666666664, command with data, 0x3, 0x0, 0x0C, 0x0029
79.540893041666664, command with data, 0x3, 0x0, 0x0C, 0x0028
79.645818583333337, command with data, 0x3, 0x0, 0x0C, 0x0027
79.756295833333340, command with data, 0x3, 0x0, 0x0C, 0x0026
79.863999208333340, command with data, 0x3, 0x0, 0x0C, 0x0024
79.968927791666673, command with data, 0x3, 0x0, 0x0C, 0x0022
80.065081375000005, command, 0x0, 0x3, 0x09
80.120552333333336, command, 0x0, 0x3, 0x12
80.267328041666673, command with data, 0x3, 0x0, 0x0C, 0x0015
80.375029416666663, command with data, 0x3, 0x0, 0x0C, 0x0014
80.479956000000001, command with data, 0x3, 0x0, 0x0C, 0x0013
80.587661374999996, command with data, 0x3, 0x0, 0x0C, 0x0012
80.692584958333327, command with data, 0x3, 0x0, 0x0C, 0x0011
80.797511499999999, command with data, 0x3, 0x0, 0x0C, 0x0009
80.902441041666663, command with data, 0x3, 0x0, 0x0C, 0x0007
81.010140458333339, command with data, 0x3, 0x0, 0x0C, 0x0006
81.115072999999995, command with data, 0x3, 0x0, 0x0C, 0x0004
81.217220708333329, command with data, 0x3, 0x0, 0x0C, 0x0002
81.319370416666672, command with data, 0x3, 0x0, 0x0C, 0x0001
81.504798166666660, command with data, 0x3, 0x0, 0x0D, 0x0003
81.612497083333338, command with data, 0x3, 0x0, 0x0D, 0x0005
81.720195958333335, command with data, 0x3, 0x0, 0x0D, 0x0006
81.827902791666673, command with data, 0x3, 0x0, 0x0D, 0x0008
82.721661958333328, command, 0x0, 0x3, 0x08
82.776114208333340, command, 0x3, 0x0, 0x10
82.885307583333329, command, 0x0, 0x3, 0x12
83.117532916666661, command with data, 0x3, 0x0, 0x0D, 0x0010
84.800504916666668, command with data, 0x3, 0x0, 0x0D, 0x0009
85.733182208333332, command with data, 0x3, 0x0, 0x0D, 0x0008
86.427967833333327, command, 0x3, 0x0, 0x11
86.961437875000001, command, 0x0, 0x3, 0x08
87.094572291666665, command, 0x0, 0x3, 0x12
87.151349916666661, command, 0x3, 0x0, 0x13
87.506382416666668, command, 0x3, 0x0, 0x13
87.572998499999997, command with data, 0x3, 0x0, 0x0D, 0x0009
87.680700333333334, command with data, 0x3, 0x0, 0x0D, 0x0010
87.785625333333329, command with data, 0x3, 0x0, 0x0D, 0x0011
88.784270291666672, command, 0x0, 0x3, 0x08
88.916851500000007, command, 0x0, 0x3, 0x12
89.473585708333331, command, 0x3, 0x0, 0x10
90.422934291666664, command, 0x0, 0x3, 0x08
